dataset,arch,pretrained,fold_number,random_state,batch_size,window_size,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,target_nepochs,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_acc,pretrain_val_f1,pretrain_val_auroc,pretrain_best_model,pretrain_train_csv,pretrain_nepochs
CBF,RNN_TS,False,3,0,128,5,0.4869791567325592,0.4869791567325592,0.6627600193023682,0.45755910873413086,0.45755910873413086,0.6417933106422424,training/exp/EXP_ratio_f3.base_2023-03-14_06-59/logs/target/checkpoints/epoch=10-step=264.ckpt,training/exp/EXP_ratio_f3.base_2023-03-14_06-59/logs/target/metrics.csv,120,4783,0,23793,,,,,,
CBF,RNN_TS,True,3,0,128,5,0.5084635615348816,0.5084635615348816,0.6893678307533264,0.48277026414871216,0.48277026414871216,0.6690972447395325,training/exp/EXP_ratio_f3.0_2023-03-14_07-08/logs/target/checkpoints/epoch=6-step=168.ckpt,training/exp/EXP_ratio_f3.0_2023-03-14_07-08/logs/target/metrics.csv,120,4783,14307,23793,0.5244932174682617,0.5244932174682617,0.8215104341506958,training/exp/EXP_ratio_f3.0_2023-03-14_07-08/logs/pretrain/checkpoints/epoch=10-step=814.ckpt,training/exp/EXP_ratio_f3.0_2023-03-14_07-08/logs/pretrain/metrics.csv,60
CBF,RNN_TS,True,3,0,128,5,0.509765625,0.509765625,0.6887577176094055,0.4861486554145813,0.4861486554145813,0.6680577397346497,training/exp/EXP_ratio_f3.0_2023-03-14_07-24/logs/target/checkpoints/epoch=3-step=96.ckpt,training/exp/EXP_ratio_f3.0_2023-03-14_07-24/logs/target/metrics.csv,120,4783,28614,23793,0.5165751576423645,0.5165751576423645,0.8193131685256958,training/exp/EXP_ratio_f3.0_2023-03-14_07-24/logs/pretrain/checkpoints/epoch=9-step=1480.ckpt,training/exp/EXP_ratio_f3.0_2023-03-14_07-24/logs/pretrain/metrics.csv,60
CBF,RNN_TS,True,3,0,128,5,0.5123698115348816,0.5123698115348816,0.6852952837944031,0.48906248807907104,0.48906248807907104,0.6651113629341125,training/exp/EXP_ratio_f3.0_2023-03-14_07-46/logs/target/checkpoints/epoch=2-step=72.ckpt,training/exp/EXP_ratio_f3.0_2023-03-14_07-46/logs/target/metrics.csv,120,4783,42921,23793,0.5186244249343872,0.5186244249343872,0.8209757804870605,training/exp/EXP_ratio_f3.0_2023-03-14_07-46/logs/pretrain/checkpoints/epoch=5-step=1338.ckpt,training/exp/EXP_ratio_f3.0_2023-03-14_07-46/logs/pretrain/metrics.csv,60
CBF,RNN_TS,True,3,0,128,5,0.5084635615348816,0.5084635615348816,0.6849851608276367,0.4830658733844757,0.4830658733844757,0.6658176779747009,training/exp/EXP_ratio_f3.0_2023-03-14_08-17/logs/target/checkpoints/epoch=2-step=72.ckpt,training/exp/EXP_ratio_f3.0_2023-03-14_08-17/logs/target/metrics.csv,120,4783,57228,23793,0.520553708076477,0.520553708076477,0.8243879079818726,training/exp/EXP_ratio_f3.0_2023-03-14_08-17/logs/pretrain/checkpoints/epoch=6-step=2079.ckpt,training/exp/EXP_ratio_f3.0_2023-03-14_08-17/logs/pretrain/metrics.csv,60
CBF,RNN_TS,True,3,0,128,5,0.5084635615348816,0.5084635615348816,0.6840434074401855,0.4837837815284729,0.4837837815284729,0.6618475317955017,training/exp/EXP_ratio_f3.0_2023-03-14_08-59/logs/target/checkpoints/epoch=3-step=96.ckpt,training/exp/EXP_ratio_f3.0_2023-03-14_08-59/logs/target/metrics.csv,120,4783,71537,23793,0.5088205933570862,0.5088205933570862,0.8209042549133301,training/exp/EXP_ratio_f3.0_2023-03-14_08-59/logs/pretrain/checkpoints/epoch=1-step=744.ckpt,training/exp/EXP_ratio_f3.0_2023-03-14_08-59/logs/pretrain/metrics.csv,60
CBF,RNN_TS,False,3,0,128,5,0.5181249976158142,0.5181249976158142,0.6991018652915955,0.4868243336677551,0.4868243336677551,0.6754703521728516,training/exp/EXP_ratio_f3.base_2023-03-14_09-56/logs/target/checkpoints/epoch=8-step=441.ckpt,training/exp/EXP_ratio_f3.base_2023-03-14_09-56/logs/target/metrics.csv,120,9567,0,23793,,,,,,
CBF,RNN_TS,True,3,0,128,5,0.5178124904632568,0.5178124904632568,0.7016897201538086,0.48505067825317383,0.48505067825317383,0.6764004230499268,training/exp/EXP_ratio_f3.1_2023-03-14_10-07/logs/target/checkpoints/epoch=3-step=196.ckpt,training/exp/EXP_ratio_f3.1_2023-03-14_10-07/logs/target/metrics.csv,120,9567,14307,23793,0.5244932174682617,0.5244932174682617,0.8215104341506958,training/exp/EXP_ratio_f3.1_2023-03-14_10-07/logs/pretrain/checkpoints/epoch=10-step=814.ckpt,training/exp/EXP_ratio_f3.1_2023-03-14_10-07/logs/pretrain/metrics.csv,60
CBF,RNN_TS,True,3,0,128,5,0.5178124904632568,0.5178124904632568,0.698418140411377,0.4877956211566925,0.4877956211566925,0.6754079461097717,training/exp/EXP_ratio_f3.1_2023-03-14_10-26/logs/target/checkpoints/epoch=3-step=196.ckpt,training/exp/EXP_ratio_f3.1_2023-03-14_10-26/logs/target/metrics.csv,120,9567,28614,23793,0.5165751576423645,0.5165751576423645,0.8193131685256958,training/exp/EXP_ratio_f3.1_2023-03-14_10-26/logs/pretrain/checkpoints/epoch=9-step=1480.ckpt,training/exp/EXP_ratio_f3.1_2023-03-14_10-26/logs/pretrain/metrics.csv,60
CBF,RNN_TS,True,3,0,128,5,0.518750011920929,0.518750011920929,0.7026373744010925,0.48348817229270935,0.48348817229270935,0.6758148074150085,training/exp/EXP_ratio_f3.1_2023-03-14_10-51/logs/target/checkpoints/epoch=2-step=147.ckpt,training/exp/EXP_ratio_f3.1_2023-03-14_10-51/logs/target/metrics.csv,120,9567,42921,23793,0.5186244249343872,0.5186244249343872,0.8209757804870605,training/exp/EXP_ratio_f3.1_2023-03-14_10-51/logs/pretrain/checkpoints/epoch=5-step=1338.ckpt,training/exp/EXP_ratio_f3.1_2023-03-14_10-51/logs/pretrain/metrics.csv,60
